,Product_1,Product_2,Product_3,Product_4,Product_5
11213554,43881779,51854334,6986847,11242886,68773594
11213994,11418386,11375305,16519193,4048581,4048043
11216859,61206696,58298176,13335112,11239836,15595231
11217956,36264193,35281385,35170466,11254535,19460704
11220929,24727789,8096306,32453922,76223148,11273506
11225097,20007984,2130377,49360016,871386,2131361
11230151,55366883,32102874,57035168,73378806,16651189
11236009,74348608,359492,104180,33786496,35278834
11239836,71674971,74989061,15595231,58298176,74860089
11241055,11387160,11452489,4252075,10590207,588800
11242886,43761442,32933095,32933095,6986847,12111114
11244014,208248,208248,595655,11522917,4775283
11245618,14241258,7783307,15079790,10806848,25309442
11251711,23142193,11251951,11251735,21466227,23181426
11251743,11251711,11251735,23181426,21466227,11251951
11251935,23117977,11251735,11251951,11251743,21465183
11251951,11251735,23181426,21466227,4048605,11251743
11254535,36264193,19460704,11217956,35281385,35170466
11273506,56195676,11220929,24727789,32453922,76223148
11293040,54002739,25696258,44241909,8197740,469404
11308022,487524,3018149,8090713,73315307,7077177
11331135,21035641,54585483,46261180,43107996,21201739
11353901,10001382,24785855,7066573,7066207,24902640
11370580,11858913,19884568,16717623,55585425,14275735
11370697,14349619,10866806,9839803,44633444,23068516
11372225,10683352,405288,540865,405252,10683512
11374712,11415485,16520424,11465847,16521748,11376644
11375305,11213994,16523479,16518032,16520424,16519193
11376644,11465847,16523479,16521748,16518032,11415485
11385902,8826583,6991111,20425156,52220154,21030723
11387160,11436297,11575714,11449535,11449535,11452489
11387239,53448839,3657625,56748461,22281227,14033974
11388785,15792427,16458389,20996983,26465463,45830277
11407472,25206026,4026305,12404622,12404601,12404601
11407914,74197591,31245660,11412868,20997533,10949871
11412868,51436880,11407914,556260,31245660,556124
11415485,11251951,21466227,16518032,16521748,11376644
11436297,11452489,11449535,11449535,11387160,11436297
11443614,7739073,4331913,6919753,2774881,8299504
11446485,14313154,50253867,10671551,26029929,25696258
11449087,11914559,11891181,359480,1044890,16385902
11449535,11436297,11452489,11387160,11575714,11449535
11450618,299431,122012,23463787,515551,36189537
11452489,11241055,11449535,11449535,11575714,11387160
11477102,3220163,255023,1324787,1059170,74246209
11477952,10828332,40369758,14904115,9977527,9977722
11510490,12030322,54818164,33448286,11664604,15333988
11516508,15971921,16717623,15380161,10603363,21614756
11522917,361277,11244014,588800,11241055,595655
11528190,4981857,4981861,4981859,13150843,11528560
11528560,4981859,4981857,4981861,13150843,11528190
11575714,11436297,11452489,11387160,11449535,11449535
11582921,10590207,25732951,588800,4252075,3953455
11593167,57904118,10194899,52711513,44065922,11598981
11598616,57904118,44065922,52711513,11593167,11598981
11598981,56046345,10194899,44065922,11598616,11593167
11607917,6642977,11199435,11609717,48878735,48877698
11609717,704279,48878735,58276960,11607917,48877698
11614069,25451926,33651473,33651411,58390031,11649798
11616101,50692305,50425704,50702925,50592905,50702923
11626751,37000912,20475644,12041791,12370066,37946490
11633356,10585231,46156090,51352620,15129417,2067059
11649798,785227,9977722,68357693,58390031,11614069
11664604,54818164,15333988,67345441,10771274,11510490
11676550,21459682,6655899,15129417,15226911,26359414
116897,594697,594788,458357,414703,6872581
11708352,8470266,55780679,74750613,77619027,72802708
11715709,1036160,53384260,14388647,74561265,6817797
11718677,23291301,14997230,10593537,8066832,23107340
11719645,11718677,10593537,32924732,23291301,23107340
11782132,21442742,22093519,3672421,23291246,20806296
11794382,7395667,47815131,50424465,7555917,12485554
11802138,32111995,62242668,38309582,42333095,31261844
11834620,10724668,10680458,10680458,2775643,2775643
11849226,8157792,1530451,3525255,457194,73685012
11856185,73315307,8090713,487524,37552451,8130811
11858913,11370580,14275735,55585425,16717623,25231861
11866615,6885293,46462092,4820975,6703629,10001012
11872698,556922,576784,65030877,30857999,17952606
11891181,359483,16385902,11241055,1044890,361279
11897820,50883140,49993511,49993513,78511861,56821778
11914559,16385902,10140056,359480,359484,359484
11921226,233129,233129,356188,356188,11921226
12011497,14301144,9850897,12011510,491362,67991056
12011510,67991056,12011497,10697849,1582161,21526737
12030322,20276836,11664604,15333988,11510490,33448286
12041791,20475644,37000902,37000912,48490928,12370066
1206387,5899493,5899501,5866569,5866557,5899427
12071716,43973407,459632,15335893,8608925,459733
12083439,1733749,1534583,1534193,52646227,52646223
12090644,9830444,23362701,171745,899654,31647432
12108488,42320500,618461,618526,13395603,13397495
12108701,12274956,66930382,48509229,19606295,1605995
12110556,6986847,43761442,13302966,32933095,32933095
12111114,43761442,32933095,32933095,6986847,11242886
12118915,68508353,57287349,77324966,23442433,72967700
12138568,71142100,50488569,37946490,32240803,12326573
122012,359480,361277,360660,36189537,515551
12204837,450192,515551,7770389,56720370,10828332
12218724,615976,7650377,457264,10697859,709192
12220615,29244640,29245829,29247864,6712433,55212109
12236983,12238762,7092227,13583766,14071430,10735333
12238762,12236983,10735333,13583766,14071430,12239943
12239943,10735333,13583766,14071430,12236983,12238762
12274956,6539103,48509229,816127,12108701,10697849
12275398,23117977,11251735,11251711,23181426,11251935
12321426,32021463,2546979,44003914,25292548,14104460
12326573,19362591,37946490,894967,32240803,12138568
12331769,26465463,21193149,15792427,44911333,16458389
12357776,56451960,51567611,49729246,20712070,32923633
12370066,37000902,37000912,20475644,48490928,12041791
12379747,7230439,10644571,76364920,17686592,15541681
12389711,27147619,57306483,21261960,5524521,44213819
12391035,21329314,25933898,17618382,21442742,59085882
12391802,44633444,20352015,23068516,22048214,14372277
12404568,456521,3858183,455526,20111924,416625
12404601,25206026,4026305,12404622,11407472,12404601
12404622,25206026,4026305,11407472,12404601,12404601
12404704,22082835,50193517,23304368,21442742,47312285
12411687,74623725,10777563,23476288,55469774,68823075
12420809,299461,23518127,23518127,299431,3718239
12422076,76184540,25288034,51153207,53727656,20621846
12431885,4252075,3953455,76192331,48701295,14928769
12477248,24255305,17474656,17473989,26314426,12477248
12480771,54440051,376848,556556,104180,375565
12481715,964243,556507,964223,4333879,12481716
12481716,556642,4333879,618526,964243,12481715
12485554,52675635,50424465,47815131,7555917,11794382
12527803,32118160,31262507,416978,72308267,12527803
12539362,72888793,72882726,74317085,34942635,12628815
12565816,58502959,48304526,59471172,57970261,68259526
12567651,68259526,8711355,59471172,24736190,69387401
12567795,55049362,7347125,38458616,23459272,46623654
125781,680611,855018,126003,855600,126000
126000,855600,855018,126697,126003,125781
126003,680611,855600,855018,125781,126000
12618638,55469774,14069536,28733908,51571587,31602057
